,Feature,Importance
6,Sweet,0.0005693042023773853
55,Juice_Pineapple,0.00037354641685846126
0,Alcohol,0.0003535890138922637
28,Liquor_Green Mint,0.00014725062429057356
16,Base Wine_Rum,0.00014045830064346454
2,Salty,0.00010823554902273935
99,Others_Orange Piece,0.00010029999418237345
4,Sour,9.185521837117294e-05
49,Juice_Lemon,9.083644602048135e-05
59,Juice Amount_15,9.068695689465889e-05
61,Juice Amount_20,8.872479602757277e-05
1,Base Wine Amount,7.814018998573147e-05
115,Type of Glass_Rock,6.674034294390507e-05
106,Taste_Sweet,5.79529900181397e-05
3,Savory,4.1635762573943855e-05
113,Type of Glass_Martini Glass,4.090203906230716e-05
18,Base Wine_Vodka,3.954134042064572e-05
52,Juice_Orange,3.7832978683760565e-05
25,Liquor_Coffee,3.7138954968596316e-05
79,Soda_Soda,2.948861314273632e-05
104,Taste_Mild,2.7191634798962027e-05
42,Liquor Amount_20,2.617897861334484e-05
71,Spice_Sugar,2.4119826722801552e-05
19,Base Wine_Whiskey,2.37352213301234e-05
108,Type of Glass_Champagne Flute,2.1628414037710987e-05
80,Soda_Tonic,1.868092824494072e-05
41,Liquor Amount_15,1.8148254752747837e-05
14,Base Wine_Brandy,1.7333912528527674e-05
63,Juice Amount_240,1.7212454843051895e-05
50,Juice_Lime,1.5904726921167624e-05
73,Spice Amount_10,1.5459683012208903e-05
92,Others_Lemon Piece,1.5379570854601175e-05
11,Making_Build,1.4991355449978095e-05
83,Soda Amount_210,1.33683130578377e-05
85,Soda Amount_240,1.3167668208136085e-05
8,Category_Long,1.2190939853196081e-05
37,Liquor_White Mint,1.1874433516423367e-05
48,Juice_Grapefruit,1.1777969286208557e-05
68,Juice Amount_80,1.1552645286994068e-05
94,Others_Lemon Piece/Cherry,1.0822636102159055e-05
58,Juice Amount_10,1.0417198354928381e-05
26,Liquor_Dry Vermouth,1.0081772122960685e-05
112,Type of Glass_Highball,9.053327835928382e-06
107,Type of Glass_Armagnac Glasss,8.542682955747782e-06
78,Soda_Ginger,8.236425465535379e-06
75,Spice Amount_5,7.611883372482531e-06
65,Juice Amount_30,6.842074159729705e-06
105,Taste_Strong,6.670085086069033e-06
20,Liquor_Apricot ,6.557148242580802e-06
39,Liquor Amount_10,6.118215815631434e-06
24,Liquor_Coco,5.904008022783458e-06
9,Category_Short,5.788905038794922e-06
27,Liquor_Dry Vermouth_20/Bitter_1/Black Cherry_1,5.768397532457392e-06
76,Spice Amount_8,4.477366088317947e-06
22,Liquor_Blue Curacao,4.4667611194482145e-06
96,Others_Lime Piece,4.3960073020876674e-06
38,Liquor_White Rum,3.848621194613156e-06
62,Juice Amount_220,3.5933103691210277e-06
29,Liquor_Melon_20/Raspberry_10,3.262183440755351e-06
81,Soda Amount_180,3.0744456837150656e-06
72,Spice Amount_1,2.704827597810322e-06
74,Spice Amount_2,2.523827992184646e-06
116,Type of Glass_Shot Glass,2.4284037439703534e-06
36,Liquor_White Curacao,2.4104458864249167e-06
12,Making_Shake,2.390365437099362e-06
87,Soda Amount_40,2.2311185611356697e-06
110,Type of Glass_Cognac Ballon,2.196885186067643e-06
57,Juice_Tomato,2.112894155459344e-06
95,Others_Lemon Piece/Cherry/Orange Piece,1.956304366179662e-06
89,Others_Coconut Milk,1.9027124724235734e-06
46,Liquor Amount_55,1.7882587234008263e-06
70,Spice_Bitter,1.6455287118355421e-06
109,Type of Glass_Champagne Saucer,1.5412900378763972e-06
98,Others_Olive,1.3298758224089546e-06
90,Others_Cream/Cherry,1.194069756216276e-06
60,Juice Amount_2,1.130070504662406e-06
84,Soda Amount_220,1.0735631025826642e-06
100,Others_Orange Piece/Lemon Piece/Cherry,9.67363333836957e-07
114,Type of Glass_Old Fashioned,8.740986459754297e-07
43,Liquor Amount_30,8.040780095863731e-07
67,Juice Amount_45,7.320486823503281e-07
5,Bitter,4.2586361523877516e-07
33,Liquor_Sherry_30/Orange Curacao_2,3.9178642453618905e-07
31,Liquor_Pernod,3.8107076667515115e-07
93,Others_Lemon Piece/Celery,3.7772637083710593e-07
7,Spicy,2.602830585174409e-07
40,Liquor Amount_12,1.5243337073700402e-07
35,Liquor_Vodka_15/Rum_15/Tequila_15/White Curacao_10,1.263747604896004e-07
17,Base Wine_Tequila,1.248730761238548e-07
32,Liquor_Sherry,1.2026045507207427e-07
30,Liquor_Orange Curacao,4.616573405780144e-08
56,Juice_Pineapple_30/Lemon_15,4.740318704232749e-09
21,Liquor_Apricot Brandy ,-7.5605427363179e-09
101,Others_Pineapple Piece/Cherry/Mint,-1.563826368400356e-08
69,Juice Amount_90,-4.9187667972017125e-08
10,Making_Blend,-1.4692969033669456e-07
23,Liquor_Campari_30/Sweet Vermouth_30,-1.6954443644578986e-07
102,Others_Pineapple Piece/Orange Piece/Cherry,-1.8365578724477416e-07
64,Juice Amount_25,-2.226026874718734e-07
88,Others_Cherry,-2.6246874021973456e-07
111,Type of Glass_Cordial Glass,-3.667774746252128e-07
77,Soda_Cola,-3.779306130047289e-07
91,Others_Ice,-5.642745999345777e-07
54,Juice_Orange_15/Pineapple_15/Lemon_10,-6.320458060482536e-07
53,Juice_Orange_10/Pineapple_10/Lemon_5,-7.212954596824694e-07
97,Others_Lime/Mint,-9.85180123769247e-07
103,Others_Snow Salt,-1.3552649509307457e-06
15,Base Wine_Gin,-1.6992285103878401e-06
86,Soda Amount_250,-1.8695166226212478e-06
45,Liquor Amount_5,-1.90933104500246e-06
34,Liquor_Sweet Vermouth,-2.3599138669228028e-06
66,Juice Amount_40,-2.407601450138408e-06
44,Liquor Amount_32,-2.834144162688901e-06
47,Liquor Amount_60,-3.2265262373321057e-06
13,Making_Stir,-3.4236749229310525e-06
51,Juice_Lime_10/Cranberry_10,-3.949235492406444e-06
82,Soda Amount_200,-8.462639753203937e-06
