,user_id,item_id,rating
0,User10,Negroni,4
1,User126,Horse’s Neck,5
2,User16,New York,5
3,User65,Tom Collins,1
4,User114,Long Island Ice Tea,3
5,User124,Havana Beach,3
6,User157,Blue Hawaii,1
7,User158,Screwdriver,1
8,User114,Singapore Sling,3
9,User9,Mojito,1
10,User74,Tequila Martini,3
11,User1,Stinger,3
12,User41,Singapore Sling,1
13,User165,Miami Beach,5
14,User116,Singapore Sling,2
15,User17,Dirty Mother,4
16,User101,Tom Collins,3
17,User140,Dirty Mother,4
18,User55,Silk Stockings,4
19,User89,Gin & Tonic,1
20,User108,Sidecar,5
21,User123,Singapore Sling,2
22,User63,Singapore Sling,3
23,User34,Tom Collins,1
24,User101,Tequila Sunset,5
25,User178,Gin Fizz,5
26,User180,Black Russian,5
27,User55,Harvard Cooler,3
28,User78,Tequila Sunset,2
29,User198,Brave Bull,5
30,User14,Cosmopolitan,1
31,User154,Miami Beach,4
32,User127,Sex on the Beach,5
33,User142,Horse’s Neck,3
34,User93,Gin Fizz,5
35,User87,Brooklyn,2
36,User31,Mockingbird,1
37,User159,Havana Beach,1
38,User90,Vodka & Tonic,4
39,User141,French Connection,3
40,User66,New York,2
41,User32,Godfather,2
42,User58,John Collins,2
43,User37,Cosmopolitan,4
44,User28,Black Russian,3
45,User19,John Collins,1
46,User94,Zombie,5
47,User78,Cherry Blossom,3
48,User151,Gin Fizz,1
49,User152,French Connection,4
50,User95,Mai-Tai,5
51,User140,Miami Beach,2
52,User157,Black Russian,3
53,User75,Harvard Cooler,4
54,User138,Manhattan,5
55,User16,Black Russian,5
56,User19,French Connection,1
57,User119,French Connection,1
58,User72,Silk Stockings,3
59,User89,Cuba Libre,5
60,User140,Tequila Sunrise,4
61,User146,Zombie,2
62,User175,Tequila Sunrise,4
63,User136,Margarita,1
64,User29,Godfather,4
65,User34,Sidecar,1
66,User97,Mojito,4
67,User45,Mojito,2
68,User134,Blue Hawaii,3
69,User5,Singapore Sling,4
70,User72,Zombie,2
71,User89,Vodka & Tonic,2
72,User89,Dirty Mother,3
73,User51,Cherry Blossom,5
74,User109,EL Diablo,1
75,User183,Negroni,4
76,User35,Sidecar,1
77,User105,Margarita,3
78,User16,Old Fashioned,1
79,User89,Mockingbird,2
80,User144,Old Fashioned,5
81,User135,Harvard Cooler,4
82,User86,Cuba Libre,5
83,User151,Cosmopolitan,1
84,User12,Miami Beach,1
85,User113,Horse’s Neck,4
86,User13,Harvard Cooler,5
87,User63,Gin & Tonic,2
88,User186,EL Diablo,5
89,User80,Sidecar,1
90,User109,Moscow Mule,1
91,User43,Tequila Martini,2
92,User58,Salty Dog,3
93,User98,Sidecar,4
94,User51,Harvard Cooler,3
95,User46,Sex on the Beach,2
96,User169,Chi-Chi,4
97,User166,Brave Bull,3
98,User129,Stinger,5
99,User147,Vodka & Tonic,4
